City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Westport,US,41.1415,-73.3579,41.14,84,90,3.0,overcast clouds
287,Tarazona,ES,41.9,-1.7333,40.53,78,32,4.27,scattered clouds
288,Lampa,CL,-33.2833,-70.9,66.63,51,0,8.05,clear sky
289,Lakota,CI,5.8528,-5.6883,72.34,98,72,2.19,broken clouds
290,Natal,BR,-5.795,-35.2094,79.16,82,44,7.43,scattered clouds
291,Lashio,MM,22.9333,97.75,54.54,95,79,1.14,broken clouds
292,Gombong,ID,-7.6072,109.5142,84.83,86,100,2.06,overcast clouds
293,Bondoukou,CI,8.0333,-2.8,77.25,64,99,3.8,overcast clouds
294,Vaitape,PF,-16.5167,-151.75,81.1,75,100,19.66,overcast clouds
295,Qui Nhon,VN,13.7667,109.2333,74.57,83,100,23.26,overcast clouds
296,Tamandare,BR,-8.7597,-35.1047,79.47,81,49,11.74,scattered clouds
297,Khovu-Aksy,RU,51.1333,93.6,7.61,87,60,4.07,broken clouds
298,Ribeira Grande,PT,38.5167,-28.7,63.0,74,22,9.48,few clouds
299,Bull Savanna,JM,17.8868,-77.5902,75.81,78,96,3.2,overcast clouds
300,Mehamn,NO,71.0357,27.8492,20.75,90,100,5.39,overcast clouds
301,Killybegs,IE,54.6333,-8.45,46.45,79,98,28.48,overcast clouds
302,Vestmannaeyjar,IS,63.4427,-20.2734,27.64,72,13,22.57,few clouds
303,Thio,NC,-21.6167,166.2167,89.56,68,9,8.79,clear sky
304,Cabedelo,BR,-6.9811,-34.8339,79.47,82,84,9.62,broken clouds
305,Balikpapan,ID,-1.2675,116.8289,79.79,83,40,2.3,scattered clouds
306,La Llanada,CO,1.49,-77.5835,48.6,97,100,0.72,moderate rain
307,Teya,RU,60.3778,92.6267,7.83,88,100,9.42,overcast clouds
308,Broken Hill,AU,-31.95,141.4333,84.42,34,8,4.94,clear sky
309,Rio Gallegos,AR,-51.6226,-69.2181,53.46,68,1,11.25,clear sky
310,Alice Springs,AU,-23.7,133.8833,87.35,18,0,6.91,clear sky
311,San Andres,CO,12.5847,-81.7006,82.42,83,40,11.5,scattered clouds
312,Taoudenni,ML,22.6783,-3.9836,65.25,10,98,13.33,overcast clouds
313,Prince Albert,CA,53.2001,-105.7677,24.75,86,75,4.61,broken clouds
314,Dengzhou,CN,37.8086,120.7508,39.52,48,79,23.73,broken clouds
315,Bambanglipuro,ID,-7.95,110.2833,80.06,78,92,4.45,overcast clouds
316,Kimry,RU,56.8667,37.35,24.73,92,100,13.94,light snow
317,Kruisfontein,ZA,-34.0033,24.7314,60.89,88,42,3.71,scattered clouds
318,Haines Junction,CA,60.7522,-137.5108,6.87,97,100,0.69,overcast clouds
319,Bosaso,SO,11.2842,49.1816,73.36,61,5,3.76,clear sky
320,Arlit,NE,18.7369,7.3853,69.67,24,55,5.86,broken clouds
321,Vega De Alatorre,MX,20.0333,-96.6333,70.7,78,46,3.06,scattered clouds
322,High Level,CA,58.5169,-117.136,5.4,98,99,4.09,overcast clouds
323,Luganville,VU,-15.5333,167.1667,85.93,66,25,5.08,scattered clouds
324,Kavieng,PG,-2.5744,150.7967,84.94,67,57,11.01,broken clouds
325,Saint George,US,37.1041,-113.5841,67.35,25,1,1.99,clear sky
326,Maunabo,PR,18.0072,-65.8993,81.43,85,54,9.66,broken clouds
327,Nyurba,RU,63.2842,118.3319,-24.47,99,99,4.59,overcast clouds
328,Walvis Bay,NA,-22.9575,14.5053,60.1,83,0,12.66,clear sky
329,Viedma,AR,-40.8135,-62.9967,62.87,45,38,19.3,scattered clouds
330,Innisfail,AU,-17.5333,146.0333,86.09,66,46,5.5,scattered clouds
331,Aden,YE,12.7794,45.0367,78.78,63,0,6.71,clear sky
332,Chiang Mai,TH,18.75,99.0,70.74,75,20,3.44,few clouds
333,Baykit,RU,61.67,96.37,5.36,86,100,13.91,overcast clouds
334,Husavik,IS,66.0449,-17.3389,20.01,79,97,7.54,overcast clouds
335,Elko,US,41.0002,-115.5012,51.64,42,54,4.0,broken clouds
336,Christchurch,NZ,-43.5333,172.6333,62.01,68,90,5.01,overcast clouds
337,Kutum,SD,14.2,24.6667,67.5,27,1,9.91,clear sky
338,Faanui,PF,-16.4833,-151.75,81.07,75,100,19.69,overcast clouds
339,Kenai,US,60.5544,-151.2583,26.02,90,90,5.75,light snow
340,Roald,NO,62.5833,6.1333,34.0,93,75,6.91,light snow
341,Poya,NC,-21.35,165.15,86.81,62,17,2.51,few clouds
342,Kulu,TR,39.0951,33.0799,39.16,80,59,14.56,broken clouds
343,Sitka,US,57.0531,-135.33,42.69,75,90,16.11,moderate rain
344,Surt,LY,31.2089,16.5887,61.54,57,7,11.54,clear sky
